PIC_RowNumber,Cst_Cnt,N_Cruise,N_Ship,N_OrderOcc,N_Towtype,N_Townumber,N_lat,N_lon,N_Line,N_Station
85,3480.0,195110,PT,10.0,C1,1.0,33.808333,-121.816666,80.0,70.0
86,3476.0,195110,PT,6.0,C1,1.0,33.688333,-120.45,83.3,55.0
87,3486.0,195110,PT,16.0,C1,1.0,32.705,-119.5,90.0,53.0
88,3485.0,195110,PT,15.0,C1,1.0,32.445,-119.966666,90.0,60.0
89,3490.0,195110,PT,20.0,C1,1.0,33.47,-117.766666,90.0,28.0
90,3489.0,195110,PT,19.0,C1,1.0,33.403333,-117.916666,90.0,30.0
91,3491.0,195110,PT,21.0,C1,1.0,32.938333,-117.326666,93.3,27.0
92,3494.0,195110,PT,24.0,C1,1.0,32.13,-118.666666,93.3,50.0
93,3557.0,195111,CR,7.0,C1,1.0,32.933333,-117.316666,93.3,27.0
94,3556.0,195111,CR,6.0,C1,1.0,32.833333,-117.516666,93.3,30.0
95,3558.0,195111,CR,8.0,C1,1.0,33.475,-117.775,90.0,28.0
96,3561.0,195111,CR,14.0,C1,1.0,32.108333,-120.65,90.0,70.0
97,3569.0,195111,CR,19.0,C1,1.0,34.128333,-119.516666,83.3,43.0
98,3568.0,195111,CR,18.0,C1,1.0,34.066666,-119.038333,85.0,38.0
99,3565.0,195111,CR,15.0,C1,1.0,33.258333,-120.516666,85.0,60.0
100,3570.0,195111,CR,20.0,C1,1.0,34.425,-120.6,80.0,51.0
101,3574.0,195111,CR,23.0,C1,1.0,33.85,-121.85,80.0,70.0
102,3661.0,195112,YE,19.0,C1,1.0,34.441666,-120.541666,80.0,51.0
103,3658.0,195112,YE,17.0,C1,1.0,33.816666,-121.85,80.0,70.0
104,3662.0,195112,YE,20.0,C1,1.0,34.133333,-119.566666,83.3,43.0
105,3670.0,195112,YE,27.0,C1,1.0,33.183333,-118.391666,90.0,37.0
106,3667.0,195112,YE,25.0,C1,1.0,32.67,-119.558333,90.0,53.0
