Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0029.S89.L002,Tech_rep_1_0404_80_60,0404_80_60,29,Tech_rep_1_0404_80_60,0404_80_60,,2004_4_80_60,CO29,CO1_2004_4_80_60_1_1,2004_4_80_60,2004,1,1,Sample,NA,4/4/04,34.153333,-121.153333,34.153333 N 121.153333 W,125
CO1_ETOHJAR.0030.S90.L002,Tech_rep_1_0404_86.7_50,0404_86.7_50,30,Tech_rep_1_0404_86.7_50,0404_86.7_50,,2004_3_86.7_50,CO30,CO1_2004_3_86.7_50_1_1,2004_3_86.7_50,2004,1,1,Sample,NA,3/30/04,33.323333,-119.661666,33.323333 N 119.661666 W,125
CO1_ETOHJAR.0031.S91.L002,Tech_rep_1_0404_93.3_30,0404_93.3_30,31,Tech_rep_1_0404_93.3_30,0404_93.3_30,,2004_3_93.3_30,CO31,CO1_2004_3_93.3_30_1_1,2004_3_93.3_30,2004,1,1,Sample,NA,3/24/04,32.846666,-117.531666,32.846666 N 117.531666 W,125
CO1_ETOHJAR.0032.S92.L002,Tech_rep_1_0404_93.3_60,0404_93.3_60,32,Tech_rep_1_0404_93.3_60,0404_93.3_60,,2004_3_93.3_60,CO32,CO1_2004_3_93.3_60_1_1,2004_3_93.3_60,2004,1,1,Sample,NA,3/25/04,31.846666,-119.575,31.846666 N 119.575 W,125
CO1_ETOHJAR.0033.S93.L002,Tech_rep_1_0504_80_60,0504_80_60,33,Tech_rep_1_0504_80_60,0504_80_60,,2005_4_80_60,CO33,CO1_2005_4_80_60_1_1,2005_4_80_60,2005,1,1,Sample,NA,4/27/05,34.146667,-121.15,34.146667 N 121.15 W,125
CO1_ETOHJAR.0034.S94.L002,Tech_rep_1_0504_86.7_50,0504_86.7_50,34,Tech_rep_1_0504_86.7_50,0504_86.7_50,,2005_4_86.7_50,CO34,CO1_2005_4_86.7_50_1_1,2005_4_86.7_50,2005,1,1,Sample,NA,4/26/05,33.321667,-119.665,33.321667 N 119.665 W,125
CO1_ETOHJAR.0035.S95.L002,Tech_rep_1_0504_93.3_30,0504_93.3_30,35,Tech_rep_1_0504_93.3_30,0504_93.3_30,,2005_4_93.3_30,CO35,CO1_2005_4_93.3_30_1_1,2005_4_93.3_30,2005,1,1,Sample,NA,4/16/05,32.843333,-117.54,32.843333 N 117.54 W,125
CO1_ETOHJAR.0036.S96.L002,Tech_rep_1_0504_93.3_60,0504_93.3_60,36,Tech_rep_1_0504_93.3_60,0504_93.3_60,,2005_4_93.3_60,CO36,CO1_2005_4_93.3_60_1_1,2005_4_93.3_60,2005,1,1,Sample,NA,4/17/05,31.848333,-119.58,31.848333 N 119.58 W,125
CO1_ETOHJAR.0037.S97.L002,Tech_rep_1_0604_80_60,0604_80_60,37,Tech_rep_1_0604_80_60,0604_80_60,,2006_4_80_60,CO37,CO1_2006_4_80_60_1_1,2006_4_80_60,2006,1,1,Sample,NA,4/14/06,34.155,-121.155,34.155 N 121.155 W,125
CO1_ETOHJAR.0038.S98.L002,Tech_rep_1_0604_86.7_50,0604_86.7_50,38,Tech_rep_1_0604_86.7_50,0604_86.7_50,,2006_4_86.7_50,CO38,CO1_2006_4_86.7_50_1_1,2006_4_86.7_50,2006,1,1,Sample,NA,4/9/06,33.318333,-119.65,33.318333 N 119.65 W,125
CO1_ETOHJAR.0039.S99.L002,Tech_rep_1_0604_93.3_30,0604_93.3_30,39,Tech_rep_1_0604_93.3_30,0604_93.3_30,,2006_4_93.3_30,CO39,CO1_2006_4_93.3_30_1_1,2006_4_93.3_30,2006,1,1,Sample,NA,4/2/06,32.846666,-117.533333,32.846666 N 117.533333 W,125
CO1_ETOHJAR.0040.S100.L002,Tech_rep_1_0604_93.3_60,0604_93.3_60,40,Tech_rep_1_0604_93.3_60,0604_93.3_60,,2006_4_93.3_60,CO40,CO1_2006_4_93.3_60_1_1,2006_4_93.3_60,2006,1,1,Sample,NA,4/3/06,31.846666,-119.576666,31.846666 N 119.576666 W,125
CO1_ETOHJAR.0041.S101.L002,Tech_rep_1_0704_80_60,0704_80_60,41,Tech_rep_1_0704_80_60,0704_80_60,,2007_4_80_60,CO41,CO1_2007_4_80_60_1_1,2007_4_80_60,2007,1,1,Sample,NA,4/14/07,34.148333,-121.15,34.148333 N 121.15 W,120
CO1_ETOHJAR.0042.S102.L002,Tech_rep_1_0704_80_60_J2,0704_80_60_J2,42,Tech_rep_1_0704_80_60_J2,0704_80_60_J2,,2007_4_80_60_J2,CO42,CO1_2007_4_80_60_2_1,2007_4_80_60,2007,2,1,Sample,NA,4/14/07,34.148333,-121.15,34.148333 N 121.15 W,120
CO1_ETOHJAR.0043.S103.L002,Tech_rep_1_0704_86.7_50,0704_86.7_50,43,Tech_rep_1_0704_86.7_50,0704_86.7_50,,2007_4_86.7_50,CO43,CO1_2007_4_86.7_50_1_1,2007_4_86.7_50,2007,1,1,Sample,NA,4/8/07,33.323333,-119.66,33.323333 N 119.66 W,125
CO1_ETOHJAR.0044.S104.L002,Tech_rep_1_0704_93.3_30,0704_93.3_30,44,Tech_rep_1_0704_93.3_30,0704_93.3_30,,2007_3_93.3_30,CO44,CO1_2007_3_93.3_30_1_1,2007_3_93.3_30,2007,1,1,Sample,NA,3/28/07,32.845,-117.526666,32.845 N 117.526666 W,125
CO1_ETOHJAR.0045.S105.L002,Tech_rep_1_0704_93.3_60,0704_93.3_60,45,Tech_rep_1_0704_93.3_60,0704_93.3_60,,2007_3_93.3_60,CO45,CO1_2007_3_93.3_60_1_1,2007_3_93.3_60,2007,1,1,Sample,NA,3/29/07,31.846666,-119.566666,31.846666 N 119.566666 W,125
CO1_ETOHJAR.0046.S106.L002,Tech_rep_1_0804_86.7_50,0804_86.7_50,46,Tech_rep_1_0804_86.7_50,0804_86.7_50,,2008_4_86.7_50,CO46,CO1_2008_4_86.7_50_1_1,2008_4_86.7_50,2008,1,1,Sample,NA,4/1/08,33.321666,-119.661666,33.321666 N 119.661666 W,125
CO1_ETOHJAR.0047.S107.L002,Tech_rep_1_Alligator,Alligator,47,Tech_rep_1_Alligator,Alligator,,Alligator,CO47,CO1_Alligator_1_1,Alligator,NA,1,1,Control,Pos,NA,NA,NA,NA,NA
CO1_ETOHJAR.0048.S108.L002,Tech_rep_1_PCR_neg,PCR_neg,48,Tech_rep_1_PCR_neg,PCR_neg,,PCR_negative,CO48,CO1_PCR_negative_1_1,PCR_negative,NA,1,1,Control,Neg,NA,NA,NA,NA,NA
CO1_ETOHJAR.0049.S109.L002,Tech_rep_1_0804_93.3_30,0804_93.3_30,49,Tech_rep_1_0804_93.3_30,0804_93.3_30,,2008_3_93.3_30,CO49,CO1_2008_3_93.3_30_1_1,2008_3_93.3_30,2008,1,1,Sample,NA,3/25/08,32.845,-117.53,32.845 N 117.53 W,125
CO1_ETOHJAR.0050.S110.L002,Tech_rep_1_0804_93.3_60,0804_93.3_60,50,Tech_rep_1_0804_93.3_60,0804_93.3_60,,2008_3_93.3_60,CO50,CO1_2008_3_93.3_60_1_1,2008_3_93.3_60,2008,1,1,Sample,NA,3/26/08,31.845,-119.57,31.845 N 119.57 W,125
CO1_ETOHJAR.0051.S111.L002,Tech_rep_1_0903_80_60,0903_80_60,51,Tech_rep_1_0903_80_60,0903_80_60,,2009_3_80_60,CO51,CO1_2009_3_80_60_1_1,2009_3_80_60,2009,1,1,Sample,NA,3/20/09,34.15,-121.146666,34.15 N 121.146666 W,125
