sample,ST_ID,Date_extracted,Batch,Volume_mL,Notes,PCR_name,Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,Ac_Line,Rpt_Sta,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility,mean_100_T,mean_100_Salinity,mean_100_O2,mean_100_O2_sat,mean_100_silicate,mean_100_PO4,mean_100_NO3,mean_100_NO2,mean_100_NH3,mean_100_CHLa,mean_100_Phaeo,mean_100_DIC1,mean_100_TA1,mean_100_LightP,mean_100_pH1
2007_3_93.3_60,0704_93.3_60,2019-06-27,8,125,low_normal,Miu_1_a_45,31473,2007-03-27-C-31JD,200704,2.00704e+13,9330600,20-0704JD-MX-088-2023-09330600,093.3 060.0,1,ST,-134.11,3/29/07,39170,88,12/30/1899 20:23:00,31.846666,31,50.8,N,-119.566666,-119,34,W,93.3,93.3,60,59.9,1830,NA,NA,RV DAVID STARR JORDAN,31JD,MX,10,92,NA,93.3 60.0,3101,704,70.4,NA,,,,,NA,31,4,8,30,6,1020,16.5,15,0,NA,0,7,13.5333333333333,33.5124166666667,6.0225,101.8,3.15833333333333,0.4625,1.25833333333333,0.133333333333333,NA,0.780833333333333,0.239166666666667,NA,NA,NA,NA
2008_4_86.7_50,0804_86.7_50,2019-06-27,9,125,low_normal,Miu_1_a_46,31738,2008-03-24-C-31JD,200804,2.00804e+13,8670500,20-0804JD-MX-092-2323-08670500,086.7 050.0,2,ST,-71.008,4/1/08,39539,92,12/30/1899 23:23:00,33.321666,33,19.3,N,-119.661666,-119,39.7,W,86.7,86.7,50,50,78,10,NA,RV DAVID STARR JORDAN,31JD,MX,35,342,NA,86.7 50.0,3101,804,105.3,NA,,,,,NA,29,1,6,30,14,1017.8,13.9,10.7,1,3,3,8,11.34,33.7522222222222,4.71444444444444,73.825,13.3555555555556,1.24666666666667,13.9777777777778,0.115555555555556,0.307777777777778,1.74111111111111,0.747777777777778,NA,NA,NA,NA
2008_3_93.3_30,0804_93.3_30,2019-06-27,9,125,normal,Miu_1_b_01,31763,2008-03-24-C-31JD,200804,2.00804e+13,9330300,20-0804JD-MX-085-1437-09330300,093.3 030.0,1,ST,-14.775,3/25/08,39532,85,12/30/1899 14:37:00,32.845,32,50.7,N,-117.53,-117,31.8,W,93.3,93.3,30,30,847,17,NA,RV DAVID STARR JORDAN,31JD,MX,5,42,NA,93.3 30.0,3101,804,47,NA,,,,,NA,14,3,6,22,1,1015,14.8,13.1,2,7,8,7,11.4422222222222,33.6803333333333,4.00777777777778,65.6111111111111,15.9555555555556,1.37,15.7444444444444,0.0488888888888889,0.03,0.5,0.193333333333333,NA,NA,NA,NA
2008_3_93.3_60,0804_93.3_60,2019-06-27,9,125,low_normal,Miu_1_b_02,31769,2008-03-24-C-31JD,200804,2.00804e+13,9330600,20-0804JD-PR-086-1919-09330600,093.3 060.0,1,ST,-134.308,3/26/08,39533,86,12/30/1899 19:19:00,31.845,31,50.7,N,-119.57,-119,34.2,W,93.3,93.3,60,60,1795,11,NA,RV DAVID STARR JORDAN,31JD,PR,11,102,NA,93.3 60.0,3101,804,47.5,251.5,12/30/1899 12:42:00,12/30/1899 16:42:00,12/30/1899 12:04:00,12/30/1899 18:39:00,8,32,5,5,33,27,1022,17.2,13.9,1,7,2,8,12.6033333333333,33.4854166666667,5.08083333333333,84.7333333333333,9.06666666666667,0.8625,8.30833333333333,0.07,0.0383333333333333,0.538333333333333,0.176666666666667,NA,NA,NA,NA
2009_3_80_60,0903_80_60,2019-06-28,10,125,full,Miu_1_b_03,32001,2009-03-08-C-31JD,200903,2.00903e+13,8000600,20-0903JD-MX-079-1238-08000600,080.0 060.0,1,ST,-38.272,3/20/09,39892,79,12/30/1899 12:38:00,34.15,34,9,N,-121.146666,-121,8.8,W,80,80,60,60,2149,NA,NA,RV DAVID STARR JORDAN,31JD,MX,62,612,NA,80.0 60.0,3101,903,120,NA,,,,,NA,NA,NA,NA,33,25,1013.1,12.8,11.7,NA,NA,NA,NA,11.9763636363636,33.4353636363636,5.46636363636364,89.6636363636364,6.99090909090909,0.779090909090909,6.91818181818182,0.131818181818182,0.241818181818182,1.37272727272727,0.391818181818182,NA,NA,NA,NA
2009_3_86.7_50,0903_86.7_50,2019-06-28,10,34,full,Miu_1_b_04,32024,2009-03-08-C-31JD,200903,2.00903e+13,8670500,20-0903JD-MX-074-1356-08670500,086.7 050.0,1,ST,-71.032,3/15/09,39887,74,12/30/1899 13:56:00,33.323333,33,19.4,N,-119.663333,-119,39.8,W,86.7,86.7,50,50,74,NA,NA,RV DAVID STARR JORDAN,31JD,MX,38,372,NA,86.7 50.0,3101,903,64.9,NA,,,,,NA,28,3,5,31,25,1017.8,12,10.1,1,6,6,6,11.58875,33.40625,5.07875,82.575,10.1125,0.98375,9.5125,0.1075,0.01125,0.75875,0.19125,NA,NA,NA,NA
2009_3_93.3_30,0903_93.3_30,2019-06-28,10,125,normal,Miu_1_b_07,32049,2009-03-08-C-31JD,200903,2.00903e+13,9330300,20-0903JD-MX-067-1221-09330300,093.3 030.0,1,ST,-14.959,3/8/09,39880,67,12/30/1899 12:21:00,32.846666,32,50.8,N,-117.535,-117,32.1,W,93.3,93.3,30,30,841,NA,NA,RV DAVID STARR JORDAN,31JD,MX,5,42,NA,93.3 30.0,3101,903,32.7,NA,,,,,NA,NA,NA,NA,9,10,1015.3,11.9,14.2,NA,NA,NA,NA,12.2277777777778,33.419,5.00375,82.9875,9.5375,0.83375,8.7125,0.085,0.195,0.37625,0.19625,2041.5,2226.035,NA,NA
2009_3_93.3_60,0903_93.3_60,2019-06-28,10,125,low_normal,Miu_1_b_08,32056,2009-03-08-C-31JD,200903,2.00903e+13,9330600,20-0903JD-MX-068-1432-09330600,093.3 060.0,1,ST,-134.156,3/9/09,39881,68,12/30/1899 14:32:00,31.85,31,51,N,-119.57,-119,34.2,W,93.3,93.3,60,60,1952,NA,NA,RV DAVID STARR JORDAN,31JD,MX,11,102,NA,93.3 60.0,3101,903,28.8,NA,,,,,NA,32,5,6,32,22,1017.1,13.5,10,2,6,8,2,12.9418181818182,33.2253636363636,5.72272727272727,95.5272727272727,5.47272727272727,0.599090909090909,3.95454545454545,0.07,0.0681818181818182,0.323636363636364,0.158181818181818,NA,NA,NA,NA
2010_5_80_60,1004_80_60,2019-06-28,11,125,full_orange,Miu_1_b_09,32342,2010-04-27-C-31FN,201004,2.01004e+13,8000600,20-1004FN-MX-137-0151-08000600,080.0 060.0,2,ST,-38.227,5/17/10,40315,137,12/30/1899 01:51:00,34.146667,34,8.8,N,-121.143333,-121,8.6,W,80,80,60,60,2142,NA,NA,RV MILLER FREEMAN,31FN,MX,189,1882,NA,80.0 60.0,3101,1004,30.4,NA,,,,,NA,30,2,5,32,10,1013.7,12.5,12,2,7,8,6,11.4175,33.382375,5.41625,87.6125,14.1875,1.17875,12.85,0.21,0.245,0.3375,0.26875,2088.78,2225.485,NA,NA
2010_4_93.3_30,1004_93.3_30,2019-06-28,11,125,normal,Miu_1_b_10,32391,2010-04-27-C-31FN,201004,2.01004e+13,9330300,20-1004FN-MX-117-1208-09330300,093.3 030.0,2,ST,-14.765,4/27/10,40295,117,12/30/1899 12:08:00,32.848333,32,50.9,N,-117.531667,-117,31.9,W,93.3,93.3,30,30,846,NA,NA,RV MILLER FREEMAN,31FN,MX,127,1262,NA,93.3 30.0,3101,1004,31.8,NA,,,,,NA,NA,NA,NA,19,3,1013.5,14.5,14,NA,NA,NA,NA,13.9283333333333,33.411,5.45333333333333,93.2833333333333,5.6,0.62,4,0.0883333333333333,0.105,0.353333333333333,0.181666666666667,2041.09,2227.78,NA,NA
2010_4_93.3_60,1004_93.3_60,2019-06-28,11,125,full,Miu_1_b_11,32398,2010-04-27-C-31FN,201004,2.01004e+13,9330600,20-1004FN-MX-118-1142-09330600,093.3 060.0,2,ST,-134.207,4/28/10,40296,118,12/30/1899 11:42:00,31.848333,31,50.9,N,-119.57,-119,34.2,W,93.3,93.3,60,60,1833,NA,NA,RV MILLER FREEMAN,31FN,MX,133,1322,NA,93.3 60.0,3101,1004,29.2,NA,,,,,NA,NA,NA,NA,29,10,1016.5,16.2,15.2,NA,NA,NA,NA,14.7777777777778,33.2451111111111,5.84,101.133333333333,2,0.39625,0.425,0.00875,0.0775,0.281111111111111,0.136666666666667,NA,NA,NA,NA
2011_4_80_60,1104_80_60,2019-06-28,12,50,full,Miu_1_b_12,32672,2011-04-09-C-325S,201104,2.01104e+13,8000600,20-11045S-PR-113-1727-08000600,080.0 060.0,2,ST,-38.855,4/23/11,40656,113,12/30/1899 17:27:00,34.15,34,9,N,-121.155,-121,9.3,W,80,80,60,60.1,2162,8,NA,RV BELL M. SHIMADA,325S,PR,103,1022,NA,80.0 60.0,3101,1104,148.4,1425.6,12/30/1899 12:05:00,12/30/1899 19:03:00,12/30/1899 12:03:00,12/30/1899 19:13:00,8,30,3,8,30,4,1016.8,14,12,1,3,4,8,10.8941666666667,33.6251666666667,5.06818181818182,81.2181818181818,15.2272727272727,1.43272727272727,15.5181818181818,0.199090909090909,1.03636363636364,1.76,0.99,NA,NA,NA,NA
2011_4_86.7_50,1104_86.7_50,2019-06-28,11,125,normal_organge,Miu_1_b_13,32694,2011-04-09-C-325S,201104,2.01104e+13,8670500,20-11045S-PR-108-1816-08670500,086.7 050.0,2,ST,-71.322,4/18/11,40651,108,12/30/1899 18:16:00,33.325,33,19.5,N,-119.668333,-119,40.1,W,86.7,86.7,50,50,81,10,NA,RV BELL M. SHIMADA,325S,PR,75,742,NA,86.7 50.0,3101,1104,33.2,471.3,12/30/1899 11:58:00,12/30/1899 18:55:00,12/30/1899 11:58:00,12/30/1899 18:57:00,8,31,6,5,31,18,1016.3,13.3,13,2,7,8,4,10.979,33.6845,3.739,60.54,20.2,1.526,18.36,0.137,0.046,0.461,0.266,NA,NA,NA,NA
