year,line.station,line,station,standard.haul.factor,volume.filtered,proportion.sorted,Arctozenus risso,Argentina sialis,Argyropelecus,Argyropelecus affinis,Argyropelecus lychnus,Argyropelecus sladeni,Aristostomias scintillans,Artedius lateralis,Bathylagoides wesethi,Bathylagus pacificus,Brosmophycis marginata,Cataetyx rubrirostris,Ceratoscopelus townsendi,Chaenopsis alepidota,Chauliodus macouni,Chiasmodon subniger,Chilara taylori,Citharichthys,Citharichthys sordidus,Citharichthys stigmaeus,Clupeiformes,Cololabis saira,Cyclothone,Cyclothone signata,Danaphos oculatus,Diaphus,Diaphus theta,Diogenichthys atlanticus,Disintegrated fish larvae,Electrona risso,Engraulis mordax,Genyonemus lineatus,Hygophum reinhardtii,Ichthyococcus irregularis,Icichthys lockingtoni,Lepidopsetta bilineata,Lestidiops,Lestidiops ringens,Leuroglossus stilbius,Liparis mucosus,Lipolagus ochotensis,Lyopsetta exilis,Macroramphosus gracilis,Melamphaes,Melamphaes lugubris,Melamphaes parvus,Merluccius productus,Microstoma,Microstomus pacificus,Myctophidae,Myctophum nitidulum,Nannobrachium,Nannobrachium regale,Nannobrachium ritteri,Nansenia candida,Nansenia crassa,Neoclinus stephensae,Odontopyxis trispinosa,Ophiodon elongatus,Orthonopias triacis,Oxyjulis californica,Oxylebius pictus,Paralepididae,Plectobranchus evides,Pleuronichthys coenosus,Pleuronichthys decurrens,Pleuronichthys verticalis,Poromitra crassiceps,Protomyctophum crockeri,Rathbunella,Rhinogobiops nicholsii,Ruscarius creaseri,Ruscarius meanyi,Sardinops sagax,Scomber japonicus,Scopelogadus mizolepis bispinosus,Scopelosaurus,Scorpaenichthys marmoratus,Sebastes,Sebastes aurora,Sebastes diploproa,Sebastes jordani,Sebastes levis,Sebastes paucispinis,Sebastolobus,Sebastolobus altivelis,Stenobrachius leucopsarus,Sternoptyx,Stomias atriventer,Symbolophorus californiensis,Tarletonbeania crenularis,Tetragonurus cuvieri,Trachipterus altivelis,Trachurus symmetricus,Triphoturus mexicanus,Unidentified,Vinciguerria lucetia,Xystreurys liolepis,Zaniolepis frenata,Zaniolepis latipinnis
2003,93.3 30,93.3,30,4.94,441.7,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,93.3 60,93.3,60,3.95,506.9,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2004,80 60,80,60,5.01,414.4,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,86.7 50,86.7,50,4.45,158.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,93.3 30,93.3,30,4.97,427.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,9,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,93.3 60,93.3,60,4.96,429.9,0.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,1,3,0,7,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0
2005,80 60,80,60,5.17,409.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2005,86.7 50,86.7,50,4.24,130.8,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,93.3 30,93.3,30,5.25,383.8,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,2,0,0,0,0,0,0,7,0,11,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,4,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,93.3 60,93.3,60,5.05,413.2,1,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1,1,0,0,0,0,20,0,0,4,1,0,0,2,0,0,311,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,1,5,0,0,0,0,172,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,65,47,0,9,0,0,0
