cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3
,,,,,,,UTC,degrees_north,degrees_east,,,,meters^3,,,,,,,Larvae 10/M^2,Larvae 100/M^3
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Protomyctophum crockeri,California flashlightfish,162685,288,1,5.48,NaN
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Sebastes,Rockfishes,166705,683,1,5.48,NaN
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Sebastes paucispinis,Bocaccio,166733,686,1,5.48,NaN
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Tetragonurus cuvieri,Smalleye squaretail,172580,546,1,5.48,NaN
199602,DAVID STARR JORDAN,JD,7,CB,1,S,1996-01-31T09:35:00Z,32.18,-118.89166,93.3,50,4.54,446.8,0.529,Citharichthys sordidus,Pacific sanddab,172716,923,1,8.582231,NaN
199602,DAVID STARR JORDAN,JD,7,CB,1,S,1996-01-31T09:35:00Z,32.18,-118.89166,93.3,50,4.54,446.8,0.529,Engraulis mordax,Northern anchovy,161828,31,1,8.582231,NaN
199602,DAVID STARR JORDAN,JD,7,CB,1,S,1996-01-31T09:35:00Z,32.18,-118.89166,93.3,50,4.54,446.8,0.529,Merluccius productus,Pacific hake or whiting,164792,901,1,8.582231,NaN
199602,DAVID STARR JORDAN,JD,7,CB,1,S,1996-01-31T09:35:00Z,32.18,-118.89166,93.3,50,4.54,446.8,0.529,Protomyctophum crockeri,California flashlightfish,162685,288,1,8.582231,NaN
199602,DAVID STARR JORDAN,JD,7,CB,1,S,1996-01-31T09:35:00Z,32.18,-118.89166,93.3,50,4.54,446.8,0.529,Tetragonurus cuvieri,Smalleye squaretail,172580,546,1,8.582231,NaN
199602,DAVID STARR JORDAN,JD,7,MT,1,,1996-01-31T09:12:00Z,32.18,-118.89166,93.3,50,0.02,72.7,1,Tactostoma macropus,Longfin dragonfish,162247,142,1,NaN,1.3755158
199602,DAVID STARR JORDAN,JD,7,MT,1,,1996-01-31T09:12:00Z,32.18,-118.89166,93.3,50,0.02,72.7,1,Tetragonurus cuvieri,Smalleye squaretail,172580,546,1,NaN,1.3755158
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Citharichthys sordidus,Pacific sanddab,172716,923,2,10.14,NaN
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Citharichthys stigmaeus,Speckled sanddab,172717,925,2,10.14,NaN
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Leuroglossus stilbius,California smoothtongue,162096,72,2,10.14,NaN
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Lipolagus ochotensis,Popeye blacksmelt,623625,68,3,15.21,NaN
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Rhinogobiops nicholsii,Blackeye goby,636877,796,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,8,CB,1,S,1996-01-31T14:55:00Z,32.013332,-119.23167,93.3,55,5.07,423.1,1,Sebastes,Rockfishes,166705,683,2,10.14,NaN
199602,DAVID STARR JORDAN,JD,8,MT,1,,1996-01-31T14:24:00Z,32.013332,-119.23167,93.3,55,0.02,72.8,1,Cololabis saira,Pacific saury,165609,166,2,NaN,2.7472527
199602,DAVID STARR JORDAN,JD,8,MT,1,,1996-01-31T14:24:00Z,32.013332,-119.23167,93.3,55,0.02,72.8,1,Merluccius productus,Pacific hake or whiting,164792,901,1,NaN,1.3736264
199602,DAVID STARR JORDAN,JD,8,MT,1,,1996-01-31T14:24:00Z,32.013332,-119.23167,93.3,55,0.02,72.8,1,Scorpaenichthys marmoratus,Cabezon,692068,736,1,NaN,1.3736264
199602,DAVID STARR JORDAN,JD,8,MT,1,,1996-01-31T14:24:00Z,32.013332,-119.23167,93.3,55,0.02,72.8,1,Sebastes,Rockfishes,166705,683,1,NaN,1.3736264
199602,DAVID STARR JORDAN,JD,9,CB,1,S,1996-01-31T20:15:00Z,31.846666,-119.57,93.3,60,4.76,453.8,1,Citharichthys sordidus,Pacific sanddab,172716,923,1,4.76,NaN
199602,DAVID STARR JORDAN,JD,9,CB,1,S,1996-01-31T20:15:00Z,31.846666,-119.57,93.3,60,4.76,453.8,1,Engraulis mordax,Northern anchovy,161828,31,1,4.76,NaN
199602,DAVID STARR JORDAN,JD,9,CB,1,S,1996-01-31T20:15:00Z,31.846666,-119.57,93.3,60,4.76,453.8,1,Icichthys lockingtoni,Medusafish,172510,536,1,4.76,NaN
199602,DAVID STARR JORDAN,JD,9,CB,1,S,1996-01-31T20:15:00Z,31.846666,-119.57,93.3,60,4.76,453.8,1,Protomyctophum crockeri,California flashlightfish,162685,288,1,4.76,NaN
199602,DAVID STARR JORDAN,JD,9,CB,1,S,1996-01-31T20:15:00Z,31.846666,-119.57,93.3,60,4.76,453.8,1,Sebastes,Rockfishes,166705,683,1,4.76,NaN
199602,DAVID STARR JORDAN,JD,9,MT,1,,1996-01-31T19:55:00Z,31.846666,-119.57,93.3,60,0.02,69.1,1,Cololabis saira,Pacific saury,165609,166,1,NaN,1.447178
199602,DAVID STARR JORDAN,JD,9,MT,1,,1996-01-31T19:55:00Z,31.846666,-119.57,93.3,60,0.02,69.1,1,Tetragonurus cuvieri,Smalleye squaretail,172580,546,1,NaN,1.447178
199602,DAVID STARR JORDAN,JD,10,CB,1,S,1996-02-01T03:39:00Z,31.513332,-120.245,93.3,70,4.84,454.8,1,Protomyctophum crockeri,California flashlightfish,162685,288,2,9.68,NaN
199602,DAVID STARR JORDAN,JD,10,CB,1,S,1996-02-01T03:39:00Z,31.513332,-120.245,93.3,70,4.84,454.8,1,Triphoturus mexicanus,Mexican lampfish,162766,301,1,4.84,NaN
199602,DAVID STARR JORDAN,JD,10,CB,1,S,1996-02-01T03:39:00Z,31.513332,-120.245,93.3,70,4.84,454.8,1,Vinciguerria lucetia,Panama lightfish,182865,93,1,4.84,NaN
199602,DAVID STARR JORDAN,JD,10,PV,1,S,1996-02-01T03:10:00Z,31.513332,-120.245,93.3,70,187.45,3.7,1,Engraulis mordax,Northern anchovy,161828,31,1,187.45,NaN
199602,DAVID STARR JORDAN,JD,11,CB,1,S,1996-02-01T11:15:00Z,31.18,-120.918335,93.3,80,5.2,432.5,1,Cyclothone signata,Showy bristlemouth,162168,78,5,26,NaN
199602,DAVID STARR JORDAN,JD,11,CB,1,S,1996-02-01T11:15:00Z,31.18,-120.918335,93.3,80,5.2,432.5,1,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,5.2,NaN
199602,DAVID STARR JORDAN,JD,11,CB,1,S,1996-02-01T11:15:00Z,31.18,-120.918335,93.3,80,5.2,432.5,1,Myctophum nitidulum,Pearly lanternfish,162726,273,1,5.2,NaN
199602,DAVID STARR JORDAN,JD,11,CB,1,S,1996-02-01T11:15:00Z,31.18,-120.918335,93.3,80,5.2,432.5,1,Vinciguerria lucetia,Panama lightfish,182865,93,10,52,NaN
